Date,Close/Last,Volume,Open,High,Low
11/22/2024,$138.35,21784730,$137.35,$139.13,$137.04
11/21/2024,$137.49,29311440,$138.87,$140.2799,$134.93
11/20/2024,$137.60,28843070,$138.96,$140.77,$135.48
11/19/2024,$139.39,23131350,$137.41,$139.75,$137.14
11/18/2024,$138.93,38782430,$138.185,$140.90,$137.21
11/15/2024,$134.90,44217530,$136.575,$137.35,$133.65
11/14/2024,$138.84,31681410,$140.34,$141.40,$138.56
11/13/2024,$139.30,35146650,$142.86,$144.49,$139.07
11/12/2024,$143.63,33560290,$147.00,$147.45,$141.5501
11/11/2024,$147.35,29868130,$147.38,$148.57,$144.91
11/08/2024,$147.95,27560340,$149.39,$150.71,$147.525
11/07/2024,$149.82,30326430,$146.68,$150.12,$145.66
11/06/2024,$145.10,32911500,$144.95,$145.625,$141.52
11/05/2024,$141.66,27067330,$141.94,$143.08,$140.80
11/04/2024,$140.71,29117420,$141.70,$143.64,$139.72
11/01/2024,$141.86,39027430,$144.44,$144.54,$141.32
10/31/2024,$144.07,44386600,$147.80,$148.68,$143.33
10/30/2024,$148.60,87701670,$153.01,$153.12,$148.10
10/29/2024,$166.25,71896040,$161.10,$167.5099,$158.94
10/28/2024,$159.92,36010130,$158.50,$160.28,$157.045
10/25/2024,$156.23,29758490,$155.40,$158.91,$155.05
10/24/2024,$153.44,22877020,$154.74,$155.19,$152.35
10/23/2024,$152.91,26095930,$153.00,$153.445,$150.52
10/22/2024,$154.09,34997350,$156.60,$156.74,$151.91
10/21/2024,$157.90,25781210,$155.76,$158.00,$154.15
10/18/2024,$155.97,23822990,$157.41,$158.01,$155.56
10/17/2024,$156.25,29491850,$160.00,$160.44,$156.20
10/16/2024,$156.13,30575770,$158.075,$158.28,$154.9159
10/15/2024,$156.64,50768020,$163.21,$164.13,$155.74
10/14/2024,$165.27,31757210,$167.77,$168.90,$165.15
10/11/2024,$167.89,42136180,$164.185,$169.35,$163.0101
10/10/2024,$164.18,75113590,$169.76,$172.01,$162.00
10/09/2024,$171.02,33890740,$174.05,$174.05,$169.55
10/08/2024,$172.80,34730150,$171.75,$173.60,$170.00
10/07/2024,$170.97,38379930,$171.08,$172.41,$168.21
10/04/2024,$170.90,44640300,$166.533,$171.21,$164.42
10/03/2024,$162.85,29598790,$159.71,$166.7894,$159.40
10/02/2024,$159.78,24630430,$159.31,$163.10,$158.6689
